frijaz
hrōþiz
gudą
haglaz
dagaz
wulfaz
mann-
gastiz
gumô
beraną
slēpaną
satjaną
sunuz
habjaną
sagjaną
witaną
kunnaną
maganą
helpaną
wiljaną
hlaþaną
līþaną
laidijaną
keusaną
wesaną
būaną
bringaną
þankijaną
þunkijaną
sehwaną
sitjaną
ligjaną
lagjaną
bidjaną
etaną
drepaną
bugjaną
sōkijaną
standaną
stāną
unnaną
durzaną
þurbaną
skulaną
aiganą
fallaną
geutaną
haitaną
nemaną
aganą
rīdaną
teuhaną
dōną
drinkaną
kwemaną
lētaną
duganą
munaną
ganuganą
mōtaną
lizaną
laizijaną
ek
wet
wīz
þū
jut
jūz
se-
faraną
farjaną
fōrijaną
waljaną
finþaną
bindaną
beudaną
fehtaną
un-
ga-
Þunraz
þunraz
fehu
mari
tanþs
alu
mili
mūs
lambaz
segaz
friþuz
hauzijaną
sprekaną
sēaną
wēaną
tēkaną
rēdaną
grētaną
skaiþaną
fanhaną
falþaną
aukaną
mīnaz
þīnaz
sīnaz
unkeraz
inkweraz
unseraz
izweraz
sa
iz
hiz
gōdaz
ainaz
þrīz
fedwōr
fimf
sehs
sebun
ahtōu
newun
tehun
hundą
þūsundī
teguz
þrīz tigiwiz
fedwōr tigiwiz
fimf tigiwiz
sehs tigiwiz
þritehun
fedurtehun
fimftehun
sehstehun
sebuntehun
ahtōutehun
newuntehun
frumô
anþeraz
þridjô
swerdą
swarjaną
bīdaną
werþaną
līhwaną
dōmijaną
salbōną
fadēr
mōdēr
brōþēr
swestēr
duhtēr
fedurþô
fimftô
sehstô
sebundô
ahtudô
newundô
tehundô
stelaną
kuningaz
augô
tīmô
þankōną
handuz
hundaz
-ingaz
-hw
-iskaz
-į̄
hūsą
wintruz
kunją
winiz
meduz
helmaz
stadiz
fiskaz
fuglaz
habukaz
jungaz
tamaz
gebaną
þunnuz
dumbaz
snaiwaz
snīwaną
dailiz
harjaz
ne
allaz
langaz
hauhaz
hrainiz
harduz
niwjaz
weganą
munþaz
dailą
dailǭ
kūz
deupaz
lēgaz
makōną
saltą
raudaz
þewāną
wīdaz
mimzą
braudą
hlaibaz
fullaz
hirdijaz
īsą
watōr
metaną
miskijaną
lakō
dēdiz
liudiz
hrainisōną
armaz
mīmrōną
maimrōną
aiþumaz
akaną
beuną
aiskōną
ahwō
awjō
faimaz
Skaþinawjō
aiz
siljaną
ausô
awiz
alaną
batistaz
batizô
brugjǭ
frehnaną
ansuz
anstiz
undiz
hlaupaną
rinnaną
rannijaną
springaną
sprangijaną
fleuhaną
fleuganą
fallijaną
malaną
wadaną
skabaną
slahaną
sabjaną
aplaz
apalją
diganą
stikaną
wiganą
bītaną
snīþaną
skīnaną
kleubaną
blewwaną
brewwaną
kewwaną
hnewwaną
hrewwaną
lūkaną
stundō
brinnaną
brannijaną
swimmaną
þersaną
felhaną
brūkaną
framaþiz
bautaną
fōr
sinnaz
lesaną
þinhaną
flehtaną
þreskaną
skeraną
teraną
dwelaną
helaną
temaną
stenaną
brekaną
kweþaną
wrekaną
swefaną
skapjaną
fraþjaną
hlahjaną
wahsijaną
hwōsaną
rōaną
hawwaną
wōpijaną
wurkijaną
fōlijaną
atjaną
drankijaną
bilībaną
bilaibijaną
laibijaną
lībaną
nesaną
nazjaną
rīsaną
raizijaną
umbi
at
ta
tō
bi
midi
grōtijaną
wakjaną
hlōgijaną
sandijaną
wazjaną
tandijaną
tawjaną
drībaną
draibijaną
wagjaną
razdō
tungǭ
wegaz
breustą
brusts
stamnijō
stebnō
burgz
fōts
nahts
bōks
mēnōþs
wītwōdz
magaþs
rīks
agaz
agisōną
liznaną
-ô
-iþō
līką
-līkaz
galīkaz
hwilīkaz
swalīkaz
ganōgaz
ubilaz
wirsizô
wirsistaz
dailijaną
ganganą
gāną
wangiją
laguz
twiz-
uz
uz-
wai
wainagaz
wainōną
an
wela
batiz
batist
aiks
dawwaz
feþrō
dawwą
þeudō
þiudiskaz
neutaną
kunþiją
kunþaz
fawaz
managaz
fuhǭ
fuhsaz
dawwō
sumaraz
harbistaz
langatīnaz
jērą
meluks
skipą
skeutaną
skōhaz
grōniz
bōkijǭ
blēwaz
hwītaz
swartaz
gans
skauniz
nu
niþer
in
mattukaz
stainaz
triwwiz
mikilaz
lītilaz
felu
felauz
hwehwlą
blōþą
gulþą
tahrą
glasą
luftuz
krītaną
bagmaz
mahtiz
þurpą
bebruz
swīną
dūbǭ
kalbaz
fulô
ēlaz
lahsaz
sparwô
wisulǭ
swanaz
werką
wirkijaną
kalzōną
jehwlą
mariswīną
saiwiz
mēnô
Tīwaz
Wōdanaz
Frijjō
sunnǭ
mēniniz dagaz
Tīwas dagaz
Wōdanas dagaz
Þunras dagaz
Frijjōz dagaz
sunnōniz dagaz
sōwulą
sōwulō
-gaz
-agaz
þaką
þeubaz
þrēaną
þrēduz
þrinhwaną
þwahaną
ahaz
baraz
aiþaz
aihtiz
akraz
anguz
angustiz
arbaidiz
þrangwijaną
bainą
berganą
berhtaz
bitraz
swōtuz
blēaną
glōdiz
dōmaz
dauþuz
daudaz
daubaz
deuzą
draganą
dwīnaną
dwergaz
ebnaz
ehwaz
erþō
fullijaną
fulką
freusaną
frawaz
fanją
falkô
hwalaz
gamainiz
gawissaz
gebō
geldaną
gladaz
hērą
berkaną
naudiz
ōþalą
raidō
juką
kurną
knewą
þingą
þeuraz
steuraz
jainaz
justaz
kaldaz
klimbaną
walhaz
wedrą
wilþijaz
windaz
seukaz
swa
swē
leuganą
namô
namnijaną
blindaz
braidaz
wikǭ
attô
gaizaz
manniskaz
unwissaz
-janą
-āną
-ōną
-aną
-naną
lausaz
waknaną
libjaną
þagjaną
fijaną
frijōną
frijōndz
fijandz
rūnō
sēmô
uhsô
abô
haiduz
hringaz
maizô
maiz
maistaz
maist
airi
airiz
airizô
airist
airistaz
frumist
frumistaz
auzô
hasô
warmaz
-īgaz
-ugaz
rehtaz
rihtijaną
fraetaną
tehswô
winistraz
fra-
bi-
anda-
-īnaz
hwaz
hwat
hwī
hwar
þar
auk
hwarjaz
hwaþeraz
sumaz
librō
saiwalō
haimaz
hūdiz
naglaz
fingraz
ik
kussaz
kussijaną
laugō
beuganą
blōtaną
hit
uber
ubiri
ab
upanaz
uns
þai
unsiz
hurną
-ārijaz
izwiz
miz
himmai
sek
jeulō
brūdiz
brūdigumô
jestuz
tigiwiz
hailaz
hailagaz
hailijaną
hailagōną
selhaz
gutô
swihô
swēbaz
durz
duriz
lūs
gaits
hezōz
hezōi
mannaz
þakjaną
þistilaz
þrukjaną
þwahilō
-ndz
-andz
agjō
tūną
slēpaz
þat
hehait
himaz
manniz
mek
was
þek
aiganaz
hīz
hijō
hes
ann
wiz
þūmô
weraz
haubudą
aldiz
kannijaną
strīkaną
sahsą
widuwǭ
wurdą
wurmiz
wullō
rīkijaz
rīkiją
karō
rūmōniz
Rūmō
Rīnaz
walhiskaz
warjaz
mainaz
mainą
biumi
wēdiz
wadą
wēnijaną
wēniz
wībą
wīsaz
wagnaz
wahsą
waikwaz
waikwijaną
arô
jesaną
jazjaną
andi
ala-
blōmô
malhō
īsarną
arsaz
askǭ
bankiz
bannaną
baukną
baunō
agiþahsijǭ
blankaz
gardaz
baumaz
bladą
blaikaz
blaikijaną
draumaz
inkw
inkwiz
þiz
siz
unk
unkiz
mik
wit
þik
sik
wīkwaną
walþuz
sēdiz
sūraz
sairaz
grēwaz
grasą
grautaz
hōfaz
Masō
nēþlō
mēlą
maþô
magô
missa-
leuhtaz
leuhtą
missadēdiz
fōdrą
fūlaz
faitaz
faitijaną
faitidaz
sīdǭ
siuniz
sinkwaną
sankwijaną
saltaz
saltaną
singwaną
sangwaz
rūmaz
rūmą
lēkijaz
lēkinōną
lēkinō
-isōną
-inōną
-atjaną
luhatjaną
līkijaną
galīkijaną
galīkōną
rekwaz
hataz
windaną
wandijaną
furhtaz
furhtijaną
garwaz
garwijaną
lausijaną
fraleusaną
warmijaną
laistaz
laistijaną
wrōgijaną
hazjaną
huljaną
saljaną
warjaną
siwjaną
salbō
karōną
laþō
laþōną
sibjō
sibjōną
fiskōną
sweglō
sweglōną
aljaną
aljanōną
aþalaz
aþalą
markō
daniz
blōþisōną
ni
ja
immi
matiz
matjaną
mundō
nēhw
barilaz
ferþuz
furduz
linhtaz
aljaz
aljar
labōną
rakjaną
smītaną
brūnaz
blakaz
idi
idi-
sadaz
hē₂r
hwē
hwō
fraisaną
fraisō
sterbaną
wrōts
wurt-
waluz
rankaz
-izô
-ōzô
-istaz
-ōstaz
-iz
natją
midjaz
jīz
unmahtiz
sēliz
unsēliz
-þuz
-þiz
lustuz
unlustuz
unrehtaz
getaną
fragetaną
bigetaną
fullį̄
managį̄
glōaną
ausaną
irzijaną
hnuts
mundiz
gamundiz
Austrǭ
maguz
mawī
gunþiz
kuruz
kumiz
farhaz
þarmaz
hertô
haþuz
huzdą
uzdaz
halsaz
hwīlō
swefnaz
nefô
wistiz
frōdaz
frōdį̄
wahstuz
landą
silubrą
flugiz
habnō
hwīlāną
hufą
sweblaz
laudą
blīwą
selbaz
samaz
teldą
masōną
unwedrą
siduz
spīwaną
hangistaz
lubą
lubōną
wabją
wargaz
funkô
hramusô
harpǭ
flaskǭ
wurstiz
stukkiją
hramasô
minnisōną
minnizô
minniz
minnistaz
-uh
-ê
-r
jainar
albiz
albī
knēaną
twisilą
bataz
Batawjō
Agilaz
gautaz
eutaz
sahsô
þeudanaz
þahsuz
þeuhą
þwahtuz
ūt
būkaz
wissaz
ajją
ak
aldaz
trewą
faþmaz
anadô
buhtiz
burdą
-umô
under
unþī
kwikwaz
taikuraz
lungraz
brūwō
brēwō
astaz
kwēniz
kwenǭ
sēmi-
bōguz
blōaną
bandī
anadz
spurdz
bergaz
-kundaz
sessaz
gawissiz
gawedaną
kwissiz
hwassaz
haisiz
ēsą
hleumô
hleuþrą
hanhaną
hangijaną
hlefaną
hleftuz
lauhaz
kambaz
kalaną
knudaną
knedaną
trudaną
mīganą
stīganą
tredaną
niþjaz
swehuraz
marhaz
marhijō
haftaz
spurnaną
skītaną
grīpaną
ankwô
nestą
nistijaną
webaną
samdaz
mizdō
gelwaz
sandaz
swegrō
snuzō
tuz-
ub
banjō
banô
berô
sīhwaną
hnīwaną
hnīganą
sagjaz
ajjaz
wulgī
ahsō
wiftiz
kluftiz
dreuganą
druhtiz
druhtinaz
driftiz
ganhtiz
giftiz
seukaną
suhtiz
